top - 11:49:58 up 92 days, 23:56, 44 users,  load average: 1.68, 1.78, 1.84
Tasks: 491 total,   1 running, 488 sleeping,   0 stopped,   2 zombie
Cpu(s):  0.1%us,  0.0%sy,  0.0%ni, 99.7%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  20590672k total, 20013856k used,   576816k free,   638924k buffers
Swap:        0k total,        0k used,        0k free, 17334004k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                        
11258 root      20   0  291m  16m 1584 D 13.8  0.1 866:02.62 carbon-cache.py                                                                                                
  534 root      20   0     0    0    0 S  3.9  0.0 253:31.72 jbd2/sdb1-8                                                                                                    
11257 root      20   0  291m  16m 1584 S  2.0  0.1 583:48.85 carbon-cache.py                                                                                                
21137 root      20   0     0    0    0 S  2.0  0.0   0:01.10 kworker/0:2                                                                                                    
    1 root      20   0 19452 1400 1100 S  0.0  0.0   0:09.88 init                                                                                                           
    2 root      20   0     0    0    0 S  0.0  0.0   0:00.90 kthreadd                                                                                                       
    3 root      20   0     0    0    0 S  0.0  0.0   0:19.11 ksoftirqd/0                                                                                                    
    6 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/0                                                                                                    
    7 root      RT   0     0    0    0 S  0.0  0.0   0:19.38 watchdog/0                                                                                                     
    8 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/1                                                                                                    
   10 root      20   0     0    0    0 S  0.0  0.0   0:01.01 ksoftirqd/1                                                                                                    
   12 root      RT   0     0    0    0 S  0.0  0.0   0:17.13 watchdog/1                                                                                                     
   13 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/2                                                                                                    
   15 root      20   0     0    0    0 S  0.0  0.0   0:01.24 ksoftirqd/2                                                                                                    
   16 root      RT   0     0    0    0 S  0.0  0.0   0:17.48 watchdog/2                                                                                                     
   17 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/3                                                                                                    
   18 root      20   0     0    0    0 S  0.0  0.0   1:40.01 kworker/3:0                                                                                                    
   19 root      20   0     0    0    0 S  0.0  0.0   0:01.28 ksoftirqd/3                                                                                                    
   20 root      RT   0     0    0    0 S  0.0  0.0   0:17.49 watchdog/3                                                                                                     
   21 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/4                                                                                                    
   22 root      20   0     0    0    0 S  0.0  0.0   0:22.62 kworker/4:0                                                                                                    
   23 root      20   0     0    0    0 S  0.0  0.0   0:01.28 ksoftirqd/4                                                                                                    
   24 root      RT   0     0    0    0 S  0.0  0.0   0:17.56 watchdog/4                                                                                                     
   25 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/5                                                                                                    
   26 root      20   0     0    0    0 S  0.0  0.0   0:10.80 kworker/5:0                                                                                                    
   27 root      20   0     0    0    0 S  0.0  0.0   0:01.35 ksoftirqd/5                                                                                                    
   28 root      RT   0     0    0    0 S  0.0  0.0   0:17.40 watchdog/5                                                                                                     
   29 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/6                                                                                                    
   30 root      20   0     0    0    0 S  0.0  0.0   0:58.26 kworker/6:0                                                                                                    
   31 root      20   0     0    0    0 S  0.0  0.0   0:00.31 ksoftirqd/6                                                                                                    
   32 root      RT   0     0    0    0 S  0.0  0.0   0:16.11 watchdog/6                                                                                                     
   33 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/7                                                                                                    
   34 root      20   0     0    0    0 S  0.0  0.0   0:30.83 kworker/7:0                                                                                                    
   35 root      20   0     0    0    0 S  0.0  0.0   0:00.38 ksoftirqd/7                                                                                                    
   36 root      RT   0     0    0    0 S  0.0  0.0   0:15.73 watchdog/7                                                                                                     
   37 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/8                                                                                                    
   39 root      20   0     0    0    0 S  0.0  0.0   0:00.42 ksoftirqd/8                                                                                                    
   40 root      RT   0     0    0    0 S  0.0  0.0   0:16.60 watchdog/8                                                                                                     
   41 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/9                                                                                                    
   43 root      20   0     0    0    0 S  0.0  0.0   0:00.26 ksoftirqd/9                                                                                                    
   44 root      RT   0     0    0    0 S  0.0  0.0   0:15.86 watchdog/9                                                                                                     
   45 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/10                                                                                                   
   46 root      20   0     0    0    0 S  0.0  0.0   1:01.67 kworker/10:0                                                                                                   
   47 root      20   0     0    0    0 S  0.0  0.0   0:00.35 ksoftirqd/10                                                                                                   
   48 root      RT   0     0    0    0 S  0.0  0.0   0:15.89 watchdog/10                                                                                                    
   49 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/11                                                                                                   
   50 root      20   0     0    0    0 S  0.0  0.0   0:57.83 kworker/11:0                                                                                                   
   51 root      20   0     0    0    0 S  0.0  0.0   0:00.33 ksoftirqd/11                                                                                                   
   52 root      RT   0     0    0    0 S  0.0  0.0   0:16.37 watchdog/11                                                                                                    
   53 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/12                                                                                                   
   54 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kworker/12:0                                                                                                   
   55 root      20   0     0    0    0 S  0.0  0.0   0:00.12 ksoftirqd/12                                                                                                   
   56 root      RT   0     0    0    0 S  0.0  0.0   0:14.86 watchdog/12                                                                                                    
   57 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/13                                                                                                   
   58 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kworker/13:0                                                                                                   
   59 root      20   0     0    0    0 S  0.0  0.0   0:00.15 ksoftirqd/13                                                                                                   
   60 root      RT   0     0    0    0 S  0.0  0.0   0:15.75 watchdog/13                                                                                                    
   61 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/14                                                                                                   
   62 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kworker/14:0                                                                                                   
   63 root      20   0     0    0    0 S  0.0  0.0   0:00.11 ksoftirqd/14                                                                                                   
   64 root      RT   0     0    0    0 S  0.0  0.0   0:15.16 watchdog/14                                                                                                    
   65 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/15                                                                                                   
   66 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kworker/15:0                                                                                                   
   67 root      20   0     0    0    0 S  0.0  0.0   0:00.16 ksoftirqd/15                                                                                                   
   68 root      RT   0     0    0    0 S  0.0  0.0   0:15.02 watchdog/15                                                                                                    
   69 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/16                                                                                                   
   70 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kworker/16:0                                                                                                   
   71 root      20   0     0    0    0 S  0.0  0.0   0:00.08 ksoftirqd/16                                                                                                   
   72 root      RT   0     0    0    0 S  0.0  0.0   0:15.12 watchdog/16                                                                                                    
   73 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/17                                                                                                   
   74 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kworker/17:0                                                                                                   
   75 root      20   0     0    0    0 S  0.0  0.0   0:00.09 ksoftirqd/17                                                                                                   
   76 root      RT   0     0    0    0 S  0.0  0.0   0:15.03 watchdog/17                                                                                                    
   77 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/18                                                                                                   
   79 root      20   0     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd/18                                                                                                   
   80 root      RT   0     0    0    0 S  0.0  0.0   0:15.06 watchdog/18                                                                                                    
   81 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/19                                                                                                   
   83 root      20   0     0    0    0 S  0.0  0.0   0:00.20 ksoftirqd/19                                                                                                   
   84 root      RT   0     0    0    0 S  0.0  0.0   0:15.51 watchdog/19                                                                                                    
   85 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/20                                                                                                   
   86 root      20   0     0    0    0 S  0.0  0.0   0:15.62 kworker/20:0                                                                                                   
   87 root      20   0     0    0    0 S  0.0  0.0   0:00.05 ksoftirqd/20                                                                                                   
   88 root      RT   0     0    0    0 S  0.0  0.0   0:14.88 watchdog/20                                                                                                    
   89 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/21                                                                                                   
   90 root      20   0     0    0    0 S  0.0  0.0   0:49.24 kworker/21:0                                                                                                   
   91 root      20   0     0    0    0 S  0.0  0.0   0:00.01 ksoftirqd/21                                                                                                   
   92 root      RT   0     0    0    0 S  0.0  0.0   0:14.83 watchdog/21                                                                                                    
   93 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/22                                                                                                   
   94 root      20   0     0    0    0 S  0.0  0.0   0:07.66 kworker/22:0                                                                                                   
   95 root      20   0     0    0    0 S  0.0  0.0   0:00.02 ksoftirqd/22                                                                                                   
   96 root      RT   0     0    0    0 S  0.0  0.0   0:14.62 watchdog/22                                                                                                    
   97 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 migration/23                                                                                                   
   98 root      20   0     0    0    0 S  0.0  0.0   0:07.97 kworker/23:0                                                                                                   
   99 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd/23                                                                                                   
  100 root      RT   0     0    0    0 S  0.0  0.0   0:14.68 watchdog/23                                                                                                    
  101 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 cpuset                                                                                                         
  102 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 khelper                                                                                                        
  103 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kdevtmpfs                                                                                                      
  104 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 netns                                                                                                          
  105 root      20   0     0    0    0 S  0.0  0.0   0:58.59 sync_supers                                                                                                    
  106 root      20   0     0    0    0 S  0.0  0.0   0:00.71 bdi-default                                                                                                    
  107 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 kintegrityd                                                                                                    
  108 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 kblockd                                                                                                        
  109 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 ata_sff                                                                                                        
  110 root      20   0     0    0    0 S  0.0  0.0   0:00.00 khubd                                                                                                          
  111 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 md                                                                                                             
  113 root      20   0     0    0    0 S  0.0  0.0   0:03.26 khungtaskd                                                                                                     
  114 root      20   0     0    0    0 S  0.0  0.0   1:55.82 kswapd0                                                                                                        
  115 root      20   0     0    0    0 S  0.0  0.0   1:23.66 kswapd1                                                                                                        
  116 root      25   5     0    0    0 S  0.0  0.0   0:00.00 ksmd                                                                                                           
  117 root      39  19     0    0    0 S  0.0  0.0   1:42.47 khugepaged                                                                                                     
  118 root      20   0     0    0    0 S  0.0  0.0   0:00.35 fsnotify_mark                                                                                                  
  119 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 crypto                                                                                                         
  124 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 kthrotld                                                                                                       
  128 root      20   0     0    0    0 S  0.0  0.0   1:09.83 kworker/7:1                                                                                                    
  130 root      20   0     0    0    0 S  0.0  0.0   0:43.51 kworker/19:1                                                                                                   
  131 root       0 -20     0    0    0 S  0.0  0.0   0:00.00 kpsmoused                                                                                                      
