ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  4.5G   31G  13% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  528K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sda1       140M   32M  101M  24% /boot
/dev/sde        932G  514G  418G  56% /var/lib/ceph/osd/ceph-1
/dev/sdn        932G  404G  528G  44% /var/lib/ceph/osd/ceph-10
/dev/sdo        932G  548G  384G  59% /var/lib/ceph/osd/ceph-11
/dev/sdp        932G  323G  609G  35% /var/lib/ceph/osd/ceph-12
/dev/sdf        932G  532G  400G  58% /var/lib/ceph/osd/ceph-2
/dev/sdg        932G  469G  463G  51% /var/lib/ceph/osd/ceph-3
/dev/sdh        932G  468G  464G  51% /var/lib/ceph/osd/ceph-4
/dev/sdi        932G  410G  522G  44% /var/lib/ceph/osd/ceph-5
/dev/sdj        932G  540G  392G  58% /var/lib/ceph/osd/ceph-6
/dev/sdk        932G  438G  494G  47% /var/lib/ceph/osd/ceph-7
/dev/sdl        932G  465G  467G  50% /var/lib/ceph/osd/ceph-8
/dev/sdm        932G  474G  458G  51% /var/lib/ceph/osd/ceph-9

ceph-osd2
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  4.6G   38G  11% /
udev             16G  4.0K   16G   1% /dev
tmpfs           6.3G  432K  6.3G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none             16G     0   16G   0% /run/shm
/dev/sde        932G  435G  497G  47% /var/lib/ceph/osd/ceph-13
/dev/sdf        932G  403G  529G  44% /var/lib/ceph/osd/ceph-14
/dev/sdg        932G  468G  464G  51% /var/lib/ceph/osd/ceph-15
/dev/sdh        932G  394G  538G  43% /var/lib/ceph/osd/ceph-16
/dev/sdi        932G  466G  467G  50% /var/lib/ceph/osd/ceph-17
/dev/sdj        932G  525G  407G  57% /var/lib/ceph/osd/ceph-18
/dev/sdk        932G  514G  418G  56% /var/lib/ceph/osd/ceph-19
/dev/sdl        932G  431G  501G  47% /var/lib/ceph/osd/ceph-20
/dev/sdm        932G  361G  571G  39% /var/lib/ceph/osd/ceph-21
/dev/sdn        932G  619G  313G  67% /var/lib/ceph/osd/ceph-22
/dev/sdo        932G  523G  410G  57% /var/lib/ceph/osd/ceph-23
/dev/sdp        932G  557G  376G  60% /var/lib/ceph/osd/ceph-24

ceph-osd3
Filesystem      Size  Used Avail Use% Mounted on
