ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  4.5G   31G  13% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  528K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sda1       140M   32M  101M  24% /boot
/dev/sde        932G  516G  416G  56% /var/lib/ceph/osd/ceph-1
/dev/sdn        932G  404G  528G  44% /var/lib/ceph/osd/ceph-10
/dev/sdo        932G  545G  387G  59% /var/lib/ceph/osd/ceph-11
/dev/sdp        932G  320G  612G  35% /var/lib/ceph/osd/ceph-12
/dev/sdf        932G  530G  402G  57% /var/lib/ceph/osd/ceph-2
/dev/sdg        932G  469G  463G  51% /var/lib/ceph/osd/ceph-3
/dev/sdh        932G  475G  457G  51% /var/lib/ceph/osd/ceph-4
/dev/sdi        932G  415G  517G  45% /var/lib/ceph/osd/ceph-5
/dev/sdj        932G  539G  393G  58% /var/lib/ceph/osd/ceph-6
/dev/sdk        932G  437G  495G  47% /var/lib/ceph/osd/ceph-7
/dev/sdl        932G  466G  466G  50% /var/lib/ceph/osd/ceph-8
/dev/sdm        932G  476G  456G  52% /var/lib/ceph/osd/ceph-9

ceph-osd2
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  4.5G   38G  11% /
udev             16G  4.0K   16G   1% /dev
tmpfs           6.3G  432K  6.3G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none             16G     0   16G   0% /run/shm
/dev/sde        932G  432G  500G  47% /var/lib/ceph/osd/ceph-13
/dev/sdf        932G  400G  532G  43% /var/lib/ceph/osd/ceph-14
/dev/sdg        932G  468G  465G  51% /var/lib/ceph/osd/ceph-15
/dev/sdh        932G  398G  534G  43% /var/lib/ceph/osd/ceph-16
/dev/sdi        932G  459G  473G  50% /var/lib/ceph/osd/ceph-17
/dev/sdj        932G  527G  405G  57% /var/lib/ceph/osd/ceph-18
/dev/sdk        932G  505G  427G  55% /var/lib/ceph/osd/ceph-19
/dev/sdl        932G  426G  506G  46% /var/lib/ceph/osd/ceph-20
/dev/sdm        932G  366G  566G  40% /var/lib/ceph/osd/ceph-21
/dev/sdn        932G  610G  322G  66% /var/lib/ceph/osd/ceph-22
/dev/sdo        932G  521G  411G  56% /var/lib/ceph/osd/ceph-23
/dev/sdp        932G  554G  378G  60% /var/lib/ceph/osd/ceph-24

ceph-osd3
Filesystem      Size  Used Avail Use% Mounted on
