ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  4.6G   31G  13% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  640K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sda1       140M   32M  101M  24% /boot
/dev/sde        932G  603G  329G  65% /var/lib/ceph/osd/ceph-1
/dev/sdn        932G  440G  492G  48% /var/lib/ceph/osd/ceph-10
/dev/sdo        932G  537G  395G  58% /var/lib/ceph/osd/ceph-11
/dev/sdp        932G  420G  512G  46% /var/lib/ceph/osd/ceph-12
/dev/sdf        932G  601G  331G  65% /var/lib/ceph/osd/ceph-2
/dev/sdg        932G  512G  420G  55% /var/lib/ceph/osd/ceph-3
/dev/sdh        932G  507G  425G  55% /var/lib/ceph/osd/ceph-4
/dev/sdi        932G  470G  462G  51% /var/lib/ceph/osd/ceph-5
/dev/sdj        932G  623G  309G  67% /var/lib/ceph/osd/ceph-6
/dev/sdk        932G  457G  475G  49% /var/lib/ceph/osd/ceph-7
/dev/sdl        932G  523G  409G  57% /var/lib/ceph/osd/ceph-8
/dev/sdm        932G  552G  380G  60% /var/lib/ceph/osd/ceph-9

ceph-osd2
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  4.8G   37G  12% /
udev             16G  4.0K   16G   1% /dev
tmpfs           6.3G  472K  6.3G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none             16G     0   16G   0% /run/shm
/dev/sde        932G  491G  441G  53% /var/lib/ceph/osd/ceph-13
/dev/sdf        932G  487G  445G  53% /var/lib/ceph/osd/ceph-14
/dev/sdg        932G  537G  395G  58% /var/lib/ceph/osd/ceph-15
/dev/sdh        932G  458G  474G  50% /var/lib/ceph/osd/ceph-16
/dev/sdi        932G  524G  408G  57% /var/lib/ceph/osd/ceph-17
/dev/sdj        932G  478G  454G  52% /var/lib/ceph/osd/ceph-18
/dev/sdk        932G  529G  403G  57% /var/lib/ceph/osd/ceph-19
/dev/sdl        932G  469G  463G  51% /var/lib/ceph/osd/ceph-20
/dev/sdm        932G  462G  470G  50% /var/lib/ceph/osd/ceph-21
/dev/sdn        932G  603G  329G  65% /var/lib/ceph/osd/ceph-22
/dev/sdo        932G  499G  433G  54% /var/lib/ceph/osd/ceph-23
/dev/sdp        932G  581G  351G  63% /var/lib/ceph/osd/ceph-24

ceph-osd3
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  4.2G   38G  10% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  460K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  584G  348G  63% /var/lib/ceph/osd/ceph-25
/dev/sdf        932G  511G  421G  55% /var/lib/ceph/osd/ceph-26
/dev/sdg        932G  548G  384G  59% /var/lib/ceph/osd/ceph-27
/dev/sdh        932G  486G  446G  53% /var/lib/ceph/osd/ceph-28
/dev/sdi        932G  565G  367G  61% /var/lib/ceph/osd/ceph-29
/dev/sdj        932G  535G  397G  58% /var/lib/ceph/osd/ceph-30
/dev/sdk        932G  502G  430G  54% /var/lib/ceph/osd/ceph-31
/dev/sdl        932G  480G  452G  52% /var/lib/ceph/osd/ceph-32
/dev/sdm        932G  552G  380G  60% /var/lib/ceph/osd/ceph-33
/dev/sdn        932G  424G  508G  46% /var/lib/ceph/osd/ceph-34
/dev/sdo        932G  470G  462G  51% /var/lib/ceph/osd/ceph-35
/dev/sdp        932G  482G  450G  52% /var/lib/ceph/osd/ceph-36

ceph-osd4
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  4.1G   38G  10% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  460K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  485G  447G  53% /var/lib/ceph/osd/ceph-37
/dev/sdf        932G  527G  405G  57% /var/lib/ceph/osd/ceph-38
/dev/sdg        932G  493G  439G  53% /var/lib/ceph/osd/ceph-39
/dev/sdh        932G  527G  405G  57% /var/lib/ceph/osd/ceph-40
/dev/sdi        932G  592G  340G  64% /var/lib/ceph/osd/ceph-41
/dev/sdj        932G  446G  486G  48% /var/lib/ceph/osd/ceph-42
/dev/sdk        932G  557G  375G  60% /var/lib/ceph/osd/ceph-43
/dev/sdl        932G  476G  456G  52% /var/lib/ceph/osd/ceph-44
/dev/sdm        932G  472G  460G  51% /var/lib/ceph/osd/ceph-45
/dev/sdn        932G  491G  441G  53% /var/lib/ceph/osd/ceph-46
/dev/sdo        932G  547G  385G  59% /var/lib/ceph/osd/ceph-47
/dev/sdp        932G  491G  441G  53% /var/lib/ceph/osd/ceph-48

ceph-osd5
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  4.1G   38G  10% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  500K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  479G  453G  52% /var/lib/ceph/osd/ceph-49
/dev/sdf        932G  548G  384G  59% /var/lib/ceph/osd/ceph-50
/dev/sdg        932G  483G  449G  52% /var/lib/ceph/osd/ceph-51
/dev/sdh        932G  443G  489G  48% /var/lib/ceph/osd/ceph-52
/dev/sdi        932G  595G  337G  64% /var/lib/ceph/osd/ceph-53
/dev/sdj        932G  526G  406G  57% /var/lib/ceph/osd/ceph-54
/dev/sdk        932G  449G  483G  49% /var/lib/ceph/osd/ceph-55
/dev/sdl        932G  406G  526G  44% /var/lib/ceph/osd/ceph-56
/dev/sdm        932G  470G  462G  51% /var/lib/ceph/osd/ceph-57
/dev/sdn        932G  497G  435G  54% /var/lib/ceph/osd/ceph-58
/dev/sdo        932G  445G  487G  48% /var/lib/ceph/osd/ceph-59
/dev/sdp        932G  584G  348G  63% /var/lib/ceph/osd/ceph-60

