ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        37G   13G   23G  37% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  424K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
none            100M     0  100M   0% /run/user
/dev/sda1       137M   58M   72M  45% /boot
/dev/sde        932G  486G  446G  53% /var/lib/ceph/osd/ceph-1
/dev/sdn        932G  451G  481G  49% /var/lib/ceph/osd/ceph-10
/dev/sdf        932G  480G  453G  52% /var/lib/ceph/osd/ceph-2
/dev/sdg        932G  465G  467G  50% /var/lib/ceph/osd/ceph-3
/dev/sdh        932G  473G  459G  51% /var/lib/ceph/osd/ceph-4
/dev/sdi        932G  456G  476G  49% /var/lib/ceph/osd/ceph-5
/dev/sdj        932G  474G  458G  51% /var/lib/ceph/osd/ceph-6
/dev/sdk        932G  487G  445G  53% /var/lib/ceph/osd/ceph-7
/dev/sdl        932G  445G  487G  48% /var/lib/ceph/osd/ceph-8
/dev/sdm        932G  453G  479G  49% /var/lib/ceph/osd/ceph-9

ceph-osd2
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  9.5G   32G  24% /
udev             16G  4.0K   16G   1% /dev
tmpfs           6.3G  400K  6.3G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none             16G     0   16G   0% /run/shm
none            100M     0  100M   0% /run/user
/dev/sde        932G  474G  458G  51% /var/lib/ceph/osd/ceph-11
/dev/sdf        932G  456G  476G  49% /var/lib/ceph/osd/ceph-12
/dev/sdg        932G  477G  455G  52% /var/lib/ceph/osd/ceph-13
/dev/sdh        932G  473G  459G  51% /var/lib/ceph/osd/ceph-14
/dev/sdi        932G  462G  470G  50% /var/lib/ceph/osd/ceph-15
/dev/sdj        932G  474G  458G  51% /var/lib/ceph/osd/ceph-16
/dev/sdk        932G  485G  447G  53% /var/lib/ceph/osd/ceph-17
/dev/sdl        932G  447G  485G  48% /var/lib/ceph/osd/ceph-18
/dev/sdm        932G  468G  464G  51% /var/lib/ceph/osd/ceph-19
/dev/sdn        932G  468G  464G  51% /var/lib/ceph/osd/ceph-20

ceph-osd3
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  9.2G   32G  23% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  404K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
none            100M     0  100M   0% /run/user
/dev/sde        932G  457G  475G  50% /var/lib/ceph/osd/ceph-21
/dev/sdf        932G  457G  475G  50% /var/lib/ceph/osd/ceph-22
/dev/sdg        932G  472G  461G  51% /var/lib/ceph/osd/ceph-23
/dev/sdh        932G  474G  458G  51% /var/lib/ceph/osd/ceph-24
/dev/sdi        932G  457G  475G  49% /var/lib/ceph/osd/ceph-25
/dev/sdj        932G  461G  471G  50% /var/lib/ceph/osd/ceph-26
/dev/sdk        932G  469G  463G  51% /var/lib/ceph/osd/ceph-27
/dev/sdl        932G  500G  432G  54% /var/lib/ceph/osd/ceph-28
/dev/sdm        932G  457G  475G  49% /var/lib/ceph/osd/ceph-29
/dev/sdn        932G  473G  459G  51% /var/lib/ceph/osd/ceph-30

ceph-osd4
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  8.9G   33G  22% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  408K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
none            100M     0  100M   0% /run/user
/dev/sde        932G  494G  438G  54% /var/lib/ceph/osd/ceph-31
/dev/sdf        932G  456G  476G  49% /var/lib/ceph/osd/ceph-32
/dev/sdg        932G  457G  475G  50% /var/lib/ceph/osd/ceph-33
/dev/sdh        932G  479G  453G  52% /var/lib/ceph/osd/ceph-34
/dev/sdi        932G  457G  475G  50% /var/lib/ceph/osd/ceph-35
/dev/sdj        932G  447G  485G  48% /var/lib/ceph/osd/ceph-36
/dev/sdk        932G  449G  483G  49% /var/lib/ceph/osd/ceph-37
/dev/sdl        932G  464G  469G  50% /var/lib/ceph/osd/ceph-38
/dev/sdm        932G  471G  461G  51% /var/lib/ceph/osd/ceph-39
/dev/sdn        932G  457G  475G  50% /var/lib/ceph/osd/ceph-40

