ceph-osd1
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2        38G  5.8G   30G  17% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  484K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sda1       140M   32M  101M  24% /boot
/dev/sde        932G  618G  314G  67% /var/lib/ceph/osd/ceph-1
/dev/sdn        932G  615G  317G  66% /var/lib/ceph/osd/ceph-10
/dev/sdo        932G  624G  308G  68% /var/lib/ceph/osd/ceph-11
/dev/sdp        932G  588G  345G  64% /var/lib/ceph/osd/ceph-12
/dev/sdf        932G  645G  287G  70% /var/lib/ceph/osd/ceph-2
/dev/sdg        932G  627G  305G  68% /var/lib/ceph/osd/ceph-3
/dev/sdh        932G  609G  323G  66% /var/lib/ceph/osd/ceph-4
/dev/sdi        932G  594G  338G  64% /var/lib/ceph/osd/ceph-5
/dev/sdj        932G  582G  350G  63% /var/lib/ceph/osd/ceph-6
/dev/sdd6       100G  249M  100G   1% /var/lib/ceph/osd/ceph-61
/dev/sdk        932G  621G  311G  67% /var/lib/ceph/osd/ceph-7
/dev/sdl        932G  636G  296G  69% /var/lib/ceph/osd/ceph-8
/dev/sdm        932G  596G  336G  64% /var/lib/ceph/osd/ceph-9

ceph-osd2
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  6.2G   36G  15% /
udev             16G  4.0K   16G   1% /dev
tmpfs           6.3G  448K  6.3G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none             16G     0   16G   0% /run/shm
/dev/sde        932G  609G  323G  66% /var/lib/ceph/osd/ceph-13
/dev/sdf        932G  711G  221G  77% /var/lib/ceph/osd/ceph-14
/dev/sdg        932G  628G  304G  68% /var/lib/ceph/osd/ceph-15
/dev/sdh        932G  563G  369G  61% /var/lib/ceph/osd/ceph-16
/dev/sdi        932G  595G  337G  64% /var/lib/ceph/osd/ceph-17
/dev/sdj        932G  637G  295G  69% /var/lib/ceph/osd/ceph-18
/dev/sdk        932G  626G  307G  68% /var/lib/ceph/osd/ceph-19
/dev/sdl        932G  644G  288G  70% /var/lib/ceph/osd/ceph-20
/dev/sdm        932G  598G  334G  65% /var/lib/ceph/osd/ceph-21
/dev/sdn        932G  612G  320G  66% /var/lib/ceph/osd/ceph-22
/dev/sdo        932G  641G  291G  69% /var/lib/ceph/osd/ceph-23
/dev/sdp        932G  595G  337G  64% /var/lib/ceph/osd/ceph-24
/dev/sdd6       100G  264M  100G   1% /var/lib/ceph/osd/ceph-62

ceph-osd3
Filesystem      Size  Used Avail Use% Mounted on
/dev/sda1        44G  5.5G   37G  13% /
udev            7.7G  4.0K  7.7G   1% /dev
tmpfs           3.1G  448K  3.1G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none            7.7G     0  7.7G   0% /run/shm
/dev/sde        932G  615G  317G  66% /var/lib/ceph/osd/ceph-25
/dev/sdf        932G  648G  284G  70% /var/lib/ceph/osd/ceph-26
/dev/sdg        932G  593G  339G  64% /var/lib/ceph/osd/ceph-27
/dev/sdh        932G  639G  293G  69% /var/lib/ceph/osd/ceph-28
/dev/sdi        932G  620G  312G  67% /var/lib/ceph/osd/ceph-29
/dev/sdj        932G  583G  349G  63% /var/lib/ceph/osd/ceph-30
/dev/sdk        932G  661G  271G  71% /var/lib/ceph/osd/ceph-31
/dev/sdl        932G  637G  295G  69% /var/lib/ceph/osd/ceph-32
/dev/sdm        932G  624G  308G  67% /var/lib/ceph/osd/ceph-33
/dev/sdn        932G  639G  293G  69% /var/lib/ceph/osd/ceph-34
/dev/sdo        932G  627G  305G  68% /var/lib/ceph/osd/ceph-35
/dev/sdp        932G  604G  328G  65% /var/lib/ceph/osd/ceph-36
/dev/sdd6       100G  255M  100G   1% /var/lib/ceph/osd/ceph-63

ceph-osd4
